,M2x0.4,4687-2,2087-2,4693-2,2093-2,4863-2,4763-2,5081-2,4681-2,Unnamed: 0
0,M2.2x0.45,4687-2.2,2087-2.2,4693-2.2,2093-2.2,4863-2.2,4763-2.2,5081-2.2,4681-2.2,nan
1,M2.5x0.45,4687-2.5,2087-2.5,4693-2.5,2093-2.5,4863-2.5,4763-2.5,5081-2.5,4681-2.5,nan
2,M3x0.5,4687-3,2087-3,4693-3,2093-3,4863-3,4763-3,5081-3,4681-3,nan
3,M3.5x0.6,4687-3.5,2087-3.5,4693-3.5,2093-3.5,4863-3.5,4763-3.5,5081-3.5,4681-3.5,nan
4,M4x0.7,4687-4,2087-4,4693-4,2093-4,4863-4,4763-4,5081-4,4681-4,nan
5,M5x0.8,4687-5,2087-5,4693-5,2093-5,4863-5,4763-5,5081-5,4681-5,nan
6,M6x1,4687-6,2087-6,4693-6,2093-6,4863-6,4763-6,5081-6,4681-6,nan
7,M7x1,4687-7,2087-7,4693-7,2093-7,4863-7,4763-7,5081-7,4681-7,nan
8,M8x1.25,4687-8,2087-8,4693-8,2093-8,4863-8,4763-8,5081-8,4681-8,nan
9,M10x1.5,4687-10,2087-10,4693-10,2093-10,4863-10,4763-10,5081-10,4681-10,nan
10,M12x1.75,4687-12,2087-12,4693-12,2093-12,4863-12,4763-12,5081-12,4681-12,3765-12
11,M14x2,4687-14,2087-14,4693-14,2093-14,nan,nan,nan,nan,3765-14
12,M16x2,4687-16,2087-16,4693-16,2093-16,nan,nan,nan,nan,3765-16
13,M18x2.5,4687-18,2087-18,4693-18,2093-18,nan,nan,nan,nan,3765-18
14,M20x2.5,4687-20,2087-20,4693-20,2093-20,nan,nan,nan,nan,3765-20
15,M22x2.5,4687-22,2087-22,4693-22,2093-22,nan,nan,nan,nan,3765-22
16,M24x3,4687-24,2087-24,4693-24,2093-24,nan,nan,nan,nan,3765-24
17,M27x3,4687-27,2087-27,4693-27,2093-27,nan,nan,nan,nan,nan
18,M30x3.5,4687-30,2087-30,4693-30,2093-30,nan,nan,nan,nan,nan
19,M33x3.5,4687-33,2087-33,4693-33,2093-33,nan,nan,nan,nan,nan
20,M36x4,4687-36,2087-36,4693-36,2093-36,nan,nan,nan,nan,nan
21,M39x4,4687-39,2087-39,4693-39,2093-39,nan,nan,nan,nan,nan
